ts_utc,camera_id,rule_id,severity,clip_path,meta
1760039522,CAM_DEMO,MOTION_IN_ROI,MEDIUM,C:\ai-camera-proto\data\clips\CAM_DEMO_MOTION_IN_ROI_20251009_195202.mp4,{'motion_area_px': 100554}
1760039531,CAM_DEMO,MOTION_IN_ROI,MEDIUM,C:\ai-camera-proto\data\clips\CAM_DEMO_MOTION_IN_ROI_20251009_195211.mp4,{'motion_area_px': 2156}
1760039672,CAM_DEMO,MOTION_IN_ROI,MEDIUM,C:\ai-camera-proto\data\clips\CAM_DEMO_MOTION_IN_ROI_20251009_195431.mp4,{'motion_area_px': 100554}
1760039678,CAM_DEMO,MOTION_IN_ROI,MEDIUM,C:\ai-camera-proto\data\clips\CAM_DEMO_MOTION_IN_ROI_20251009_195438.mp4,{'motion_area_px': 2156}
1760039757,CAM_DEMO,MOTION_IN_ROI,MEDIUM,C:\ai-camera-proto\data\clips\CAM_DEMO_MOTION_IN_ROI_20251009_195557.mp4,{'motion_area_px': 100554}
1760039763,CAM_DEMO,MOTION_IN_ROI,MEDIUM,C:\ai-camera-proto\data\clips\CAM_DEMO_MOTION_IN_ROI_20251009_195603.mp4,{'motion_area_px': 2156}
1760040780,CAM_DEMO,HAND_IN_ROI,HIGH,C:\ai-camera-proto\data\clips\CAM_DEMO_HAND_IN_ROI_20251009_201259.mp4,"{'model': 'hand', 'detections': 2, 'roi': 'roi_1'}"
1760040800,CAM_DEMO,HAND_IN_ROI,HIGH,C:\ai-camera-proto\data\clips\CAM_DEMO_HAND_IN_ROI_20251009_201319.mp4,"{'model': 'yolo', 'detections': 1, 'roi': 'roi_1'}"
1760040885,CAM_DEMO,HAND_IN_ROI,HIGH,C:\ai-camera-proto\data\clips\CAM_DEMO_HAND_IN_ROI_20251009_201444.mp4,"{'model': 'hand', 'detections': 2, 'roi': 'roi_1'}"
1760040904,CAM_DEMO,HAND_IN_ROI,HIGH,C:\ai-camera-proto\data\clips\CAM_DEMO_HAND_IN_ROI_20251009_201504.mp4,"{'model': 'yolo', 'detections': 1, 'roi': 'roi_1'}"
1760041342,CAM_DEMO,HAND_IN_ROI,HIGH,C:\ai-camera-proto\data\clips\CAM_DEMO_HAND_IN_ROI_20251009_202221.mp4,"{'model': 'hand', 'detections': 1, 'roi': 'roi_1'}"
1760451868,CAM_DEMO,HAND_IN_ROI,HIGH,C:\ai-camera-proto\data\clips\CAM_DEMO_HAND_IN_ROI_20251014_142427.mp4,"{'model': 'hand', 'detections': 2, 'roi': 'roi_1'}"
1760457342,CAM_DEMO,HAND_IN_ROI,HIGH,C:\ai-camera-proto\data\clips\CAM_DEMO_HAND_IN_ROI_20251014_155542.mp4,"{'model': 'yolo', 'detections': 4, 'roi': 'roi_1'}"
1760457448,CAM_DEMO,HAND_IN_ROI,HIGH,C:\ai-camera-proto\data\clips\CAM_DEMO_HAND_IN_ROI_20251014_155727.mp4,"{'model': 'yolo', 'detections': 4, 'roi': 'roi_1'}"
1760457517,CAM_DEMO,HAND_IN_ROI,HIGH,C:\ai-camera-proto\data\clips\CAM_DEMO_HAND_IN_ROI_20251014_155837.mp4,"{'model': 'yolo', 'detections': 4, 'roi': 'roi_1'}"
1760535559,CAM_DEMO,PERSON_IN_RESTRICTED_AREA,HIGH,C:\ai-camera-proto\data\clips\CAM_DEMO_PERSON_IN_RESTRICTED_AREA_20251015_133919.mp4,"{'models': ['yolo', 'hand'], 'roi': 'roi_1', 'rules': ['PERSON_IN_RESTRICTED_AREA']}"
